名|方|状|主|恶|禁|忌|试
玉屏风颗粒|【成份】黄芪、防风、白术（炒） 【辅料】甘露醇、糊精、甜菊素、枸橼酸|棕色或棕红色颗粒、味涩而后甘|主治：益气，固表，止汗。用于表虚不固，自汗恶风，面色白光白，或体虚易感风邪者。||忌油腻食、宜饭前服、小儿孕妇高血压者询医师、另药同服询医师、过敏者慎用|
八正合剂|【药】 瞿麦118g 车前子（炒）？118g 扁蓄118g 大黄118g 滑石118g 川木通118g 栀子118g 甘草118g 灯心草59g 【制】 以上九味，车前子用25％乙醇浸渍，收集浸渍液。大黄照流浸膏与浸膏剂项下的渗漉法（附录ⅠO），用50％乙醇作溶剂，浸渍24小时后进行渗漉，收集渗漉液，减压回收乙醇。其余七味加水煎煮三次，滤过，合并滤液，滤液浓缩至约1300ml，与浸渍液、渗漉液合并，静置，滤过，滤液浓缩至近1000ml，加入苯甲酸钠3g，加水使成1000ml，搅匀，分装，即得。|棕褐色的液体、味苦微甜|主治：清热、利尿、通淋；用于：湿热下注、小便短赤、淋沥涩痛、口燥咽干||||
参苓健脾胃颗粒|【成份】北沙参、茯苓、白术、山药（炒）、扁豆（炒）、莲子、砂仁（盐炙）、陈皮、薏苡仁（炒）、甘草 【辅料】乳糖、阿司帕坦|棕黄色至棕褐色颗粒、气芳香、微甜|【主治】补脾健胃、利湿止泻 【用于】脾胃虚弱、饮食不消、或泻或吐、形瘦色萎、神疲乏力||孕妇禁用|忌辛辣生冷油腻、发热不宜用、宜饭前服、有心血脏器慢性病询医师、另药同服询医师、过敏者慎用|
生血宁片|【成分】蚕砂提取物|深红薄膜衣片内为灰绿或灰黑色、味酸甜|【主治】益气补血 【用于】缺铁性贫血属气血两虚证者 【证见】面部肌肤萎黄或苍白、神疲乏力、眩晕耳鸣、心悸气短、舌淡或胖、脉弱、等|（少数）上腹不适、恶心 （个别）大便增次、黑便、出皮疹瘙痒|血色病或含铁血黄素沉着症患者禁用、铁叶绿酸钠过敏者禁用|铁负荷过高者慎用、任何患者需询医师指导服用|【试验】小鼠骨髓红系祖细胞和粒-巨噬细胞增殖反应得明显促进、正常小鼠外周血网织红细胞百分率提高、失血性大鼠红细胞与血红蛋白与网织红细胞恢复得促进、血清铁含量与转铁蛋白饱和度提高
宫血停颗粒|【成分】黄芪、升麻、党参、益母草、蒲黄、枳壳、龙骨（煅）、牡蛎（煅）、当归、女贞子、旱莲草|棕黄色颗粒、味甜微苦|【主治】补益脾肾、活瘀止血 【用于】脾肾两虚、气虚血瘀所致经多崩漏|（可能）皮疹、瘙痒、恶心、呕吐、胃不适、腹痛、腹泻、经量多、等|孕妇禁用、恶性肿瘤出血者忌服、过敏慎用|忌辛辣生冷食、糖尿病者询医师、另药同服询医师|【试验】缩短凝血时间效果显著、一定程度抑制小鼠耳肿胀、显著减少小鼠扭体次数、显止血凝血抗炎镇痛作用
补中益气颗粒|【成分】炙黄芪、党参、炙甘草、当归、炒白术、升麻、柴胡、陈皮、生姜、大枣|棕色颗粒、味甜微苦辛|【主治】补中益气、升阳举陷 【用于】脾胃虚弱、中气下陷所致泄泻、脱肛、阴挺 【症见】体倦乏力、食少腹涨、便溏久泻、肛门下坠或脱垂、子宫脱垂|||忌辛辣冷硬食|

